     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           249  0.000108              0.026837       0.767449       0.000009      **********
           250  0.000108              0.026945       0.767399       0.000009      **********
           251  0.000108              0.027053       0.767069       0.000009      **********
           252  0.000108              0.027161       0.766470       0.000009      **********
           253  0.000108              0.027269       0.765610       0.000009      **********
           254  0.000108              0.027376       0.765431       0.000009      **********
           255  0.000108              0.027484       0.767066       0.000009      **********
           256  0.000108              0.027592       0.768415       0.000009      **********
           257  0.000108              0.027700       0.769479       0.000009      **********
           258  0.000108              0.027807       0.770262       0.000009      **********
           259  0.000108              0.027915       0.770767       0.000009      **********
           260  0.000108              0.028023       0.771001       0.000009      **********
           261  0.000108              0.028131       0.770970       0.000009      **********
           262  0.000108              0.028239       0.770682       0.000009      **********
           263  0.000108              0.028346       0.770146       0.000009      **********
           264  0.000108              0.028454       0.769373       0.000009      **********
           265  0.000108              0.028562       0.768919       0.000009      **********
           266  0.000108              0.028670       0.770464       0.000009      **********
           267  0.000108              0.028777       0.771740       0.000009      **********
           268  0.000108              0.028885       0.772748       0.000009      **********
           269  0.000108              0.028993       0.773493       0.000009      **********
           270  0.000108              0.029101       0.773978       0.000009      **********
           271  0.000108              0.029209       0.774210       0.000009      **********
           272  0.000108              0.029316       0.774196       0.000009      **********
           273  0.000108              0.029424       0.773942       0.000009      **********
           274  0.000108              0.029532       0.773458       0.000009      **********
           275  0.000108              0.029640       0.772752       0.000009      **********
           276  0.000108              0.029747       0.772138       0.000009      **********
           277  0.000108              0.029855       0.773611       0.000009      **********
           278  0.000108              0.029963       0.774830       0.000009      **********
           279  0.000108              0.030071       0.775796       0.000009      **********
           280  0.000108              0.030179       0.776513       0.000009      **********
           281  0.000108              0.030286       0.776986       0.000009      **********
           282  0.000108              0.030394       0.777219       0.000009      **********
           283  0.000108              0.030502       0.777218       0.000009      **********
           284  0.000108              0.030610       0.776990       0.000009      **********
           285  0.000108              0.030717       0.776544       0.000009      **********
           286  0.000108              0.030825       0.775888       0.000009      **********
           287  0.000108              0.030933       0.775182       0.000009      **********
           288  0.000108              0.031041       0.776604       0.000009      **********
           289  0.000108              0.031149       0.777783       0.000009      **********
           290  0.000108              0.031256       0.778721       0.000009      **********
           291  0.000108              0.031364       0.779419       0.000009      **********
           292  0.000108              0.031472       0.779882       0.000009      **********
           293  0.000108              0.031580       0.780114       0.000009      **********
           294  0.000108              0.031688       0.780120       0.000009      **********
           295  0.000108              0.031795       0.779907       0.000009      **********
           296  0.000108              0.031903       0.779483       0.000009      **********
           297  0.000108              0.032011       0.778857       0.000009      **********
           298  0.000108              0.032119       0.778130       0.000009      **********
           299  0.000108              0.032226       0.779515       0.000009      **********
           300  0.000108              0.032334       0.780663       0.000009      **********
           301  0.000108              0.032442       0.781576       0.000009      **********
           302  0.000108              0.032550       0.782255       0.000009      **********
           303  0.000108              0.032658       0.782704       0.000009      **********
           304  0.000108              0.032765       0.782926       0.000009      **********
           305  0.000108              0.032873       0.782928       0.000009      **********
           306  0.000108              0.032981       0.782715       0.000009      **********
           307  0.000108              0.033089       0.782297       0.000009      **********
           308  0.000108              0.033196       0.781683       0.000009      **********
           309  0.000108              0.033304       0.781005       0.000009      **********
           310  0.000108              0.033412       0.782355       0.000009      **********
           311  0.000108              0.033520       0.783471       0.000009      **********
           312  0.000108              0.033628       0.784353       0.000009      **********
           313  0.000108              0.033735       0.785005       0.000009      **********
           314  0.000108              0.033843       0.785429       0.000009      **********
           315  0.000108              0.033951       0.785629       0.000009      **********
           316  0.000108              0.034059       0.785612       0.000009      **********
           317  0.000108              0.034166       0.785385       0.000009      **********
           318  0.000108              0.034274       0.784957       0.000009      **********
           319  0.000108              0.034382       0.784337       0.000009      **********
